symbol,setup_type,entry_price,stop_loss_price
PIIND,Weekly Entry (EMA 30),4220.0,3986.24
PIIND,Weekly Immediate Entry (EMA 30),4220.0,3986.24
PNB,Weekly Entry (EMA 30),115.71,107.56
SBIN,Weekly Entry (EMA 30),834.2,796.5
SRF,Weekly Entry (EMA 30),3325.0,3130.48
SRF,Weekly Immediate Entry (EMA 30),3325.0,3130.48
TATACONSUM,Weekly Entry (EMA 30),1108.6,1063.26
TATACONSUM,Weekly Immediate Entry (EMA 30),1108.6,1063.26
TATAELXSI,Weekly Entry (EMA 30),6439.5,5603.4
TATAPOWER,Weekly Entry (EMA 30),416.75,391.45
TECHM,Weekly Entry (EMA 30),1647.9,1562.02
TECHM,Weekly Immediate Entry (EMA 30),1647.9,1562.02
TORNTPHARM,Weekly Entry (EMA 30),3465.6,3262.35
TVSMOTOR,Weekly Entry (EMA 30),2902.0,2718.54
UNIONBANK,Weekly Entry (EMA 30),154.59,140.12
UNIONBANK,Weekly Immediate Entry (EMA 30),154.59,140.12
UPL,Weekly Entry (EMA 30),689.5,639.24
UPL,Weekly Immediate Entry (EMA 30),689.5,639.24
VEDL,Weekly Entry (EMA 30),461.5,416.44
VEDL,Weekly Immediate Entry (EMA 30),461.5,416.44
YESBANK,Weekly Entry (EMA 30),20.65,19.41
ZEEL,Weekly Entry (EMA 30),147.43,131.77
ZEEL,Weekly Immediate Entry (EMA 30),147.43,131.77
APOLLOTYRE,Monthly Entry (EMA 30),477.1,430.95
AUROPHARMA,Monthly Entry (EMA 30),1197.0,1067.71
BALKRISIND,Monthly Entry (EMA 30),2684.7,2362.24
BANKBARODA,Monthly Entry (EMA 30),257.9,228.21
BANKBARODA,Monthly Immediate Entry (EMA 30),257.9,228.21
CANBK,Monthly Entry (EMA 30),119.3,103.55
CANBK,Monthly Immediate Entry (EMA 30),119.3,103.55
GODREJCP,Monthly Entry (EMA 30),1308.0,1148.4
HEROMOTOCO,Monthly Entry (EMA 30),4486.7,4116.52
HEROMOTOCO,Monthly Immediate Entry (EMA 30),4486.7,4116.52
HINDUNILVR,Monthly Entry (EMA 30),2532.9,2236.11
NHPC,Monthly Entry (EMA 30),92.34,79.77
NHPC,Monthly Immediate Entry (EMA 30),92.34,79.77
PATANJALI,Monthly Entry (EMA 30),1873.3,1593.21
PETRONET,Monthly Entry (EMA 30),313.55,287.2
PETRONET,Monthly Immediate Entry (EMA 30),313.55,287.2
SUNPHARMA,Monthly Entry (EMA 30),1731.3,1619.64
UBL,Monthly Entry (EMA 30),2134.7,1893.38
UBL,Monthly Immediate Entry (EMA 30),2134.7,1893.38
