symbol,setup_type,entry_price,stop_loss_price
ACC,Daily Entry,1998.0,1943.67
ASIANPAINT,Daily Entry,2422.4,2347.29
ATGL,Daily Entry,662.75,633.6
BRITANNIA,Daily Entry,5829.0,5659.83
DIVISLAB,Daily Entry,6859.5,6479.55
GMRAIRPORT,Daily Entry,94.0,88.75
HINDCOPPER,Daily Entry,266.75,256.9
HINDPETRO,Daily Entry,448.55,423.72
IDBI,Daily Entry,102.14,97.02
IDFCFIRSTB,Daily Entry,74.76,71.87
JSWENERGY,Daily Entry,533.5,510.3
NHPC,Daily Entry,89.5,86.35
NTPC,Daily Entry,344.1,336.1
RELIANCE,Daily Entry,1496.5,1456.78
UNIONBANK,Daily Entry,149.6,141.47
ZEEL,Daily Entry,146.99,131.77
ADANIENT,Weekly Entry,2619.5,2526.38
AMBUJACEM,Weekly Entry,597.25,574.2
APOLLOHOSP,Weekly Entry,7635.0,7087.41
APOLLOHOSP,Weekly Immediate Entry,7635.0,7087.41
BAJAJHLDNG,Weekly Entry,14350.0,13563.99
BANDHANBNK,Weekly Entry,184.25,172.06
BANKBARODA,Weekly Entry,250.5,233.65
BANKINDIA,Weekly Entry,119.14,112.43
BANKINDIA,Weekly Immediate Entry,119.14,112.43
BEL,Weekly Entry,427.45,401.05
BEL,Weekly Immediate Entry,427.45,401.05
BHARTIARTL,Weekly Entry,2040.7,1895.06
BHARTIARTL,Weekly Immediate Entry,2040.7,1895.06
BPCL,Weekly Entry,358.65,339.87
BPCL,Weekly Immediate Entry,358.65,339.87
BRITANNIA,Weekly Entry,5930.5,5659.83
BRITANNIA,Weekly Immediate Entry,5930.5,5659.83
BSE,Weekly Entry,2680.0,2341.65
BSE,Weekly Immediate Entry,2680.0,2341.65
CANBK,Weekly Entry,117.35,110.1
CGPOWER,Weekly Entry,683.5,658.4
COFORGE,Weekly Entry,1994.0,1827.74
COFORGE,Weekly Immediate Entry,1994.0,1827.74
DIVISLAB,Weekly Entry,7071.5,6756.75
DIVISLAB,Weekly Immediate Entry,7071.5,6756.75
DLF,Weekly Entry,848.2,803.14
DRREDDY,Weekly Entry,1313.4,1238.79
DRREDDY,Weekly Immediate Entry,1313.4,1238.79
EICHERMOT,Weekly Entry,5718.5,5533.11
EICHERMOT,Weekly Immediate Entry,5718.5,5533.11
ESCORTS,Weekly Entry,3400.0,3245.32
FEDERALBNK,Weekly Entry,217.2,204.69
FEDERALBNK,Weekly Immediate Entry,217.2,204.69
GUJGASLTD,Weekly Entry,495.5,460.35
GUJGASLTD,Weekly Immediate Entry,495.5,460.35
HDFCBANK,Weekly Entry,2022.7,1957.23
HDFCLIFE,Weekly Entry,797.95,749.28
HDFCLIFE,Weekly Immediate Entry,797.95,749.28
HEROMOTOCO,Weekly Entry,4470.0,4148.1
HINDCOPPER,Weekly Entry,282.0,257.7
HINDCOPPER,Weekly Immediate Entry,282.0,257.7
HINDPETRO,Weekly Entry,455.2,428.72
HINDPETRO,Weekly Immediate Entry,455.2,428.72
ICICIBANK,Weekly Entry,1445.0,1400.45
ICICIBANK,Weekly Immediate Entry,1445.0,1400.45
IDBI,Weekly Entry,102.79,97.59
IDBI,Weekly Immediate Entry,102.79,97.59
IOC,Weekly Entry,155.0,148.5
IOC,Weekly Immediate Entry,155.0,148.5
JUBLFOOD,Weekly Entry,714.7,667.56
JUBLFOOD,Weekly Immediate Entry,714.7,667.56
LTIM,Weekly Entry,5414.5,5118.8
LTIM,Weekly Immediate Entry,5414.5,5118.8
M&M,Weekly Entry,3210.0,3031.78
MARICO,Weekly Entry,745.0,713.84
MAXHEALTH,Weekly Entry,1310.8,1203.34
MAXHEALTH,Weekly Immediate Entry,1310.8,1203.34
MFSL,Weekly Entry,1597.9,1538.16
MFSL,Weekly Immediate Entry,1597.9,1538.16
MOTHERSON,Weekly Entry,158.92,148.5
MPHASIS,Weekly Entry,2950.4,2785.86
MPHASIS,Weekly Immediate Entry,2950.4,2785.86
PERSISTENT,Weekly Entry,5950.0,5504.4
PERSISTENT,Weekly Immediate Entry,5950.0,5504.4
PETRONET,Weekly Entry,313.4,296.16
PIIND,Weekly Entry,4220.0,3986.24
PIIND,Weekly Immediate Entry,4220.0,3986.24
PNB,Weekly Entry,115.71,107.56
SBIN,Weekly Entry,834.2,796.5
SRF,Weekly Entry,3325.0,3130.48
SRF,Weekly Immediate Entry,3325.0,3130.48
TATAELXSI,Weekly Entry,6439.5,5603.4
TATAPOWER,Weekly Entry,416.75,391.45
TECHM,Weekly Entry,1647.9,1562.02
TECHM,Weekly Immediate Entry,1647.9,1562.02
TORNTPHARM,Weekly Entry,3465.6,3262.35
TVSMOTOR,Weekly Entry,2902.0,2718.54
UNIONBANK,Weekly Entry,154.59,140.12
UNIONBANK,Weekly Immediate Entry,154.59,140.12
UPL,Weekly Entry,689.5,639.24
UPL,Weekly Immediate Entry,689.5,639.24
VEDL,Weekly Entry,461.5,416.44
VEDL,Weekly Immediate Entry,461.5,416.44
YESBANK,Weekly Entry,20.65,19.41
ZEEL,Weekly Entry,147.43,131.77
ZEEL,Weekly Immediate Entry,147.43,131.77
