datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,1194.45,1199.0,1140.0,1155.6,6424072,,,,,,,
2020-01-03,1156.0,1156.0,1132.0,1139.7,2695237,,,,,,,
2020-01-05,1162.0,1171.4,1150.1,1158.6,4494752,,,,,,,
2020-01-07,1170.95,1173.85,1138.0,1143.3,4733744,,,,,,,
2020-01-09,1155.0,1170.7,1148.5,1154.05,3281442,,,,,,,
2020-01-13,1155.0,1168.65,1148.5,1167.1,2460679,,,,,,,
2020-01-15,1173.5,1195.5,1170.6,1192.9,4309755,,,,,,,27.53924784892532
2020-01-17,1194.8,1196.85,1184.0,1188.75,1034774,,,,,,,24.143290504481936
2020-01-19,1190.0,1195.0,1179.1,1187.85,1139858,,,,,,,22.353057856881893
2020-01-21,1183.45,1185.95,1161.0,1177.65,1828469,,,,,,,23.282723678579472
2020-01-23,1176.0,1230.0,1175.0,1227.85,4942770,,,,,,,29.587133836080014
2020-01-27,1228.0,1240.35,1188.3,1195.0,4035932,,,,,,,33.91317850109188
2020-01-29,1198.5,1207.9,1176.2,1179.25,3239549,,,,,,,33.49771885328
2020-01-31,1185.5,1218.0,1165.6,1173.25,3366186,,,,,,,36.97290325917027
2020-02-02,1170.0,1192.3,1162.55,1186.4,3595537,,,,,33.39114774651667,,35.66740529629146
2020-02-04,1195.0,1297.7,1185.0,1279.85,13335746,,,,,41.83397119813666,,49.39731750613558
2020-02-06,1284.95,1294.2,1252.05,1275.0,4741838,,,,,41.86647553202611,,48.120363503752515
2020-02-10,1270.9,1278.9,1253.35,1270.7,2373356,,,,,40.23941473248949,,44.18107996454461
2020-02-12,1276.95,1308.0,1265.85,1298.1,5654161,,,,,40.42469454656039,,43.82935550164048
2020-02-14,1306.95,1310.7,1290.0,1293.45,1416212,,,3955203.45,,38.559532959541094,,39.849902604234906
2020-02-16,1293.05,1321.6,1288.35,1316.05,2347399,,,3751369.8,,38.068815861224664,,38.72045835280352
2020-02-18,1314.0,1332.9,1301.25,1329.6,3206838,,,3776949.85,,37.487774719673695,,37.51586472364176
2020-02-20,1330.0,1341.05,1320.0,1322.85,1513648,,,3627894.65,,36.02767948571413,,34.72092663491721
2020-02-24,1310.0,1317.8,1256.8,1260.1,2700191,,,3526217.0,,38.64882994244442,,40.02246526064267
2020-02-26,1256.0,1286.0,1245.1,1277.9,6075707,,,3665930.25,,38.84230027428361,,40.170584256448976
2020-02-28,1255.0,1270.7,1235.65,1254.5,2728105,,,3679301.55,,39.130975517265156,,40.520824979042146
2020-03-01,1275.0,1294.0,1228.0,1244.15,2773593,,,3602493.45,,41.37728145419726,,44.8047765942941
2020-03-03,1248.2,1272.0,1217.3,1250.95,5667493,,,3834129.4,,42.47769239311484,,46.466074043868
2020-03-05,1253.5,1265.15,1219.7,1242.6,3234180,,,3938845.5,,42.72048333474047,,46.295694795335066
2020-03-09,1225.0,1241.85,1175.0,1203.45,2285790,1224.883333333333,,3961711.55,,44.73211902811424,,49.86445334707538
2020-03-11,1197.95,1213.35,1064.65,1076.75,5923546,1215.3263440860212,,4010750.35,-6.823295257874696,53.05994946896041,,66.40673244977343
2020-03-13,1055.6,1134.7,946.05,1084.35,4337351,1206.876257370794,,4025821.3,-4.856541195051345,63.827347604530516,,86.8523868932719
2020-03-15,1049.95,1049.95,983.0,1011.35,3443945,1194.2616601210655,,4036041.1,-12.709304332815464,66.78347630534789,,89.27574527974512
2020-03-17,1005.0,1038.0,921.0,930.75,8493755,1177.2609078551902,,4292419.55,-18.590921018105476,70.71077889812587,,93.90774683420204
2020-03-19,879.95,934.0,839.75,904.9,9246212,1159.689236380662,,4574953.3,-21.58918591048915,72.53932428028607,,93.96490515118613
2020-03-23,839.65,857.85,720.9,816.1,10365910,1137.5221888722322,,4426461.5,-30.07454374089623,81.14388045575943,,108.9962022452487
2020-03-25,799.0,947.8,784.8,928.3,7200146,1124.02398313854,,4549376.9,-22.181238997401298,87.42677061015137,,118.00955152129427
2020-03-27,960.0,965.0,896.0,937.05,2999839,1111.9611455166987,,4580701.05,-21.17350157728707,86.01991243399324,,109.83167826687335
2020-03-29,861.0,959.0,861.0,943.65,2901443,1101.1023619349762,,4443065.15,-20.55815128172749,86.93009723486902,,107.8577979915369
2020-03-31,967.0,971.7,902.0,936.05,6747921,1090.4538224553005,,4709650.6,-20.515433278138673,85.6269683068505,,101.49296840616559
2020-04-02,930.0,930.05,855.95,862.8,4951957,1075.7664790710876,,4839878.5,-29.730830313149003,85.21070763746899,,97.925046136569
2020-04-06,900.1,954.95,892.3,947.45,4186589,1067.4879965503724,,4888866.05,-20.715481171548113,85.7313137190209,,96.9619924134668
2020-04-08,935.0,1044.0,893.4,1013.85,14038929,1064.0274806438968,,5515130.1,-14.025863896544411,90.58052314633075,,105.90588619671176
2020-04-12,1014.5,1014.5,943.2,966.85,4399276,1057.7579657636454,,5600084.35,-17.59215853398679,89.14399966943832,58.01880794990587,100.13596666544895
2020-04-14,990.0,990.0,937.2,952.05,5502744,1050.9380970047007,,5571436.2,-19.75303438975051,86.44444592415451,59.78725122249379,92.24404943688445
2020-04-16,929.0,1017.7,915.0,975.5,12013566,1046.0711230043976,,6035709.25,-23.780130484041095,87.64844283882692,61.31440027718347,93.98718448703475
2020-04-20,975.5,982.2,932.45,936.7,6274904,1039.014921520243,,6210774.8,-26.53333333333333,84.84881242692553,62.74714484034679,86.61264006310675
2020-04-22,936.7,955.25,905.0,912.6,9788470,1030.8591201318404,,6416823.65,-28.181317384118987,82.29916168408643,64.14913640540001,80.55104907182734
2020-04-24,910.0,926.9,893.1,906.05,4693092,1022.8069188330121,,6489769.25,-30.201833448886827,78.73323909116733,65.42608789022024,72.75797442939579
2020-04-26,914.2,938.0,912.05,927.75,3816089,1016.6742143921726,1114.347,6566284.2,-28.27322277629596,75.30067813254253,66.6507927293203,65.95574840417818
2020-04-28,930.35,940.0,917.0,925.4,5063119,1010.7855553991293,1106.9373137254902,6523262.85,-29.683522662512818,71.47073553673086,67.76419005183718,58.795670219585645
