datetime,open,high,low,close,volume
2020-01-01 05:30:00,39.4,40.85,39.25,40.45,1800482
2020-01-02 05:30:00,40.85,48.5,40.75,48.5,18450531
2020-01-03 05:30:00,50.0,51.0,46.2,46.75,9379034
2020-01-06 05:30:00,46.25,46.25,44.2,44.6,3537345
2020-01-07 05:30:00,45.25,46.75,45.2,45.8,2175054
2020-01-08 05:30:00,45.0,47.2,44.2,46.05,3349792
2020-01-09 05:30:00,47.05,47.9,46.6,46.85,1683221
2020-01-10 05:30:00,47.2,47.9,46.0,46.35,1603171
2020-01-13 05:30:00,46.4,48.95,46.2,47.3,2428426
2020-01-14 05:30:00,47.7,47.8,47.0,47.25,1090705
2020-01-15 05:30:00,47.2,47.55,46.4,47.0,1074088
2020-01-16 05:30:00,47.6,49.25,47.1,47.5,2508464
2020-01-17 05:30:00,47.5,47.55,46.55,46.7,729797
2020-01-20 05:30:00,46.9,47.0,45.7,45.85,651813
2020-01-21 05:30:00,45.4,45.7,44.95,45.05,622211
2020-01-22 05:30:00,45.3,45.65,44.5,44.6,586745
2020-01-23 05:30:00,44.7,45.65,44.5,45.05,764710
2020-01-24 05:30:00,45.25,47.3,44.75,46.75,1329254
2020-01-27 05:30:00,46.4,46.5,44.8,44.95,783809
2020-01-28 05:30:00,44.9,45.35,43.3,43.9,710336
2020-01-29 05:30:00,45.0,45.1,43.9,44.25,528734
2020-01-30 05:30:00,44.35,44.4,42.9,43.4,538431
2020-01-31 05:30:00,43.65,43.9,42.3,42.45,524534
2020-02-01 05:30:00,42.25,44.0,41.1,41.35,742665
2020-02-03 05:30:00,40.6,41.2,39.75,40.2,834534
2020-02-04 05:30:00,40.7,42.5,40.45,42.05,973389
2020-02-05 05:30:00,42.4,43.55,42.05,43.25,706380
2020-02-06 05:30:00,43.55,44.3,42.4,42.6,747080
2020-02-07 05:30:00,42.7,43.15,41.8,42.15,580878
2020-02-10 05:30:00,42.1,42.25,41.1,41.6,444902
2020-02-11 05:30:00,41.6,43.4,41.1,41.55,998194
2020-02-12 05:30:00,41.75,43.15,41.65,41.95,1065979
2020-02-13 05:30:00,41.95,41.95,40.9,41.35,426106
2020-02-14 05:30:00,38.9,39.1,37.75,38.0,1896231
2020-02-17 05:30:00,38.2,38.25,35.55,35.9,876239
2020-02-18 05:30:00,35.6,35.6,34.55,35.1,822581
2020-02-19 05:30:00,35.65,36.45,35.1,36.1,677061
2020-02-20 05:30:00,36.1,37.35,35.7,36.55,571600
2020-02-24 05:30:00,36.5,36.5,34.6,34.9,598255
2020-02-25 05:30:00,34.5,35.5,34.4,35.0,382908
2020-02-26 05:30:00,34.8,35.0,33.8,34.25,551075
2020-02-27 05:30:00,34.05,34.05,33.05,33.5,434638
2020-02-28 05:30:00,32.45,32.75,31.1,31.35,719501
2020-03-02 05:30:00,31.95,32.45,29.5,29.95,546035
2020-03-03 05:30:00,30.65,30.95,29.75,30.7,664930
2020-03-04 05:30:00,30.9,30.95,28.7,29.55,878746
2020-03-05 05:30:00,30.0,30.75,29.75,30.5,517061
2020-03-06 05:30:00,28.25,29.5,28.25,29.1,702303
2020-03-09 05:30:00,28.0,28.5,26.75,27.7,885075
2020-03-11 05:30:00,27.7,28.35,26.75,28.0,614483
2020-03-12 05:30:00,27.3,27.3,23.3,24.4,1232642
2020-03-13 05:30:00,23.0,26.35,19.65,26.0,1415093
2020-03-16 05:30:00,24.1,24.8,23.5,23.65,822738
2020-03-17 05:30:00,24.65,24.65,23.0,23.05,660386
2020-03-18 05:30:00,23.3,23.85,21.3,22.55,849601
2020-03-19 05:30:00,21.0,22.25,20.3,21.3,953064
2020-03-20 05:30:00,21.45,23.75,21.3,22.75,995895
2020-03-23 05:30:00,21.0,21.6,18.3,20.0,804336
2020-03-24 05:30:00,21.5,21.5,18.25,18.65,788013
2020-03-25 05:30:00,18.35,20.25,18.35,20.05,571442
2020-03-26 05:30:00,20.0,21.3,19.85,20.3,833391
2020-03-27 05:30:00,20.85,22.2,20.55,20.85,960632
2020-03-30 05:30:00,20.4,20.8,19.4,20.15,405839
2020-03-31 05:30:00,21.1,21.7,20.8,21.3,761848
2020-04-01 05:30:00,21.9,22.5,21.3,21.6,502667
2020-04-03 05:30:00,21.5,22.5,20.7,21.6,534619
2020-04-07 05:30:00,22.2,23.5,22.05,23.3,769477
2020-04-08 05:30:00,23.15,26.0,23.0,23.9,828468
2020-04-09 05:30:00,24.15,24.95,24.1,24.75,633363
2020-04-13 05:30:00,25.0,25.85,23.8,25.15,583151
2020-04-15 05:30:00,25.4,27.25,25.2,25.7,1084057
2020-04-16 05:30:00,25.9,26.7,25.5,26.4,469044
2020-04-17 05:30:00,27.5,27.8,26.65,27.4,1063408
2020-04-20 05:30:00,27.8,28.3,26.75,27.1,938619
2020-04-21 05:30:00,26.6,26.65,24.8,25.4,669560
2020-04-22 05:30:00,25.25,26.1,24.7,25.5,462077
2020-04-23 05:30:00,25.6,26.6,25.6,26.15,494673
2020-04-24 05:30:00,26.7,26.9,25.5,25.7,725221
2020-04-27 05:30:00,26.0,26.15,25.1,25.2,372824
2020-04-28 05:30:00,25.45,25.45,24.6,25.05,272512
2020-04-29 05:30:00,25.3,26.3,25.1,25.5,684035
2020-04-30 05:30:00,26.0,26.5,25.8,26.05,954699
2020-05-04 05:30:00,25.3,25.45,23.15,24.4,528738
2020-05-05 05:30:00,25.0,25.15,23.55,24.05,562133
2020-05-06 05:30:00,24.45,24.45,23.65,23.85,605433
2020-05-07 05:30:00,23.85,24.85,23.65,24.2,418788
2020-05-08 05:30:00,24.6,24.75,23.7,23.8,290298
2020-05-11 05:30:00,24.0,24.5,23.7,23.8,359927
2020-05-12 05:30:00,23.8,24.2,23.45,23.8,372602
2020-05-13 05:30:00,25.2,26.4,24.1,25.95,1830215
2020-05-14 05:30:00,25.8,26.65,25.25,25.75,789051
2020-05-15 05:30:00,25.5,26.5,25.5,25.8,557279
2020-05-18 05:30:00,26.7,27.35,25.75,26.05,1199607
2020-05-19 05:30:00,26.25,26.75,24.9,25.2,436298
2020-05-20 05:30:00,25.3,25.65,24.85,25.1,320558
2020-05-21 05:30:00,25.3,26.1,25.15,25.4,352621
2020-05-22 05:30:00,25.3,25.35,24.3,24.5,308523
2020-05-26 05:30:00,24.65,25.0,24.2,24.75,226869
2020-05-27 05:30:00,25.2,25.9,24.8,25.4,703825
2020-05-28 05:30:00,25.6,26.35,25.6,25.9,622814
2020-05-29 05:30:00,25.8,26.8,25.55,25.95,658626
2020-06-01 05:30:00,26.3,28.6,26.3,27.75,1814887
2020-06-02 05:30:00,28.4,29.5,28.3,28.85,1653519
2020-06-03 05:30:00,29.1,29.7,28.3,28.75,1153026
